OutputL: fffffb4380; OutputR: 0002546d5c
OutputL: 0021a8422f; OutputR: 0000000000
OutputL: 00629eea01; OutputR: 0000000000
OutputL: ff91e00606; OutputR: 0000000000
OutputL: ffa3655a20; OutputR: 0000000000
OutputL: fff66722c5; OutputR: 0000000000
OutputL: ffe99cb493; OutputR: 0000000000
OutputL: fff728422a; OutputR: 0000000000
OutputL: 0007d7219d; OutputR: 0000000000
OutputL: 0038d678b8; OutputR: 0000000000
OutputL: fffd422a61; OutputR: 0000000000
OutputL: 0006bd8b7e; OutputR: 0000000000
OutputL: 001065c1ee; OutputR: 0000000000
OutputL: ffc1bba0f8; OutputR: 0000000000
OutputL: 0027a1c54a; OutputR: 0000000000
OutputL: ffc0d3d7fb; OutputR: 0000000000
OutputL: ffcff980de; OutputR: 0000000000
OutputL: 0078877437; OutputR: 0000000000
OutputL: ffc0137508; OutputR: 0000000000
OutputL: 0014a3a91f; OutputR: 0000000000
OutputL: 001d6a0110; OutputR: 0000000000
OutputL: ffe4ca3ec7; OutputR: 0000000000
OutputL: 001f792025; OutputR: 0000000000
OutputL: 002f9d09f9; OutputR: 0000000000
OutputL: 002c190716; OutputR: 0000000000
OutputL: 0005fda37b; OutputR: 0000000000
OutputL: 0010306569; OutputR: 0000000000
OutputL: ffeb102e59; OutputR: 0000000000
OutputL: 002533ac05; OutputR: 0000000000
OutputL: ffaf1a12b5; OutputR: 0000000000
OutputL: ffd854210f; OutputR: 0000000000
OutputL: 004ad90432; OutputR: 0000000000
OutputL: ffc5be5c59; OutputR: 0000000000
OutputL: ffdc9741f7; OutputR: 0000000000
OutputL: 000988b70d; OutputR: 0000000000
OutputL: ffff3ed9ab; OutputR: 0000000000
OutputL: 006fb5f8a3; OutputR: 0000000000
OutputL: 0035c2c366; OutputR: 0000000000
OutputL: 000764bdc2; OutputR: 0000000000
OutputL: 0011918ad1; OutputR: 0000000000
OutputL: fffaf8f06e; OutputR: 0000000000
OutputL: 00042e4686; OutputR: 0000000000
OutputL: 0017f17246; OutputR: 0000000000
OutputL: ffe379d0af; OutputR: 0000000000
OutputL: ffbfe1e9d4; OutputR: 0000000000
OutputL: 0005b26961; OutputR: 0000000000
OutputL: 00006ebe21; OutputR: 0000000000
OutputL: 00103c3347; OutputR: 0000000000
OutputL: fffd558ae1; OutputR: 0000000000
OutputL: ffffd1215c; OutputR: 0000000000
OutputL: 0006afc79c; OutputR: 0000000000
OutputL: 00000c69a3; OutputR: 0000000000
OutputL: fffeebe385; OutputR: 0000000000
OutputL: fffd0c5e77; OutputR: 0000000000
OutputL: 00021f2748; OutputR: 0000000000
OutputL: ffffc8e800; OutputR: 0000000000
OutputL: 00008b5400; OutputR: 0000000000
OutputL: ffff766000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0000000000
OutputL: 0000000000; OutputR: 0007130766
OutputL: 0000000000; OutputR: fff6546d5f
OutputL: 0000000000; OutputR: 000661ffff
OutputL: 0000000000; OutputR: ffe301f6b4
OutputL: 0000000000; OutputR: fffb2c9852
OutputL: 0000000000; OutputR: ffe5dc8d78
OutputL: 0000000000; OutputR: 001872bb9c
OutputL: 0000000000; OutputR: ffffcb804b
OutputL: 0000000000; OutputR: 0020285e04
OutputL: 0000000000; OutputR: ffeab09ef7
OutputL: 0000000000; OutputR: 000c2f9912
OutputL: 0000000000; OutputR: fffdccf629
OutputL: 0000000000; OutputR: fffe18ebbb
OutputL: 0000000000; OutputR: 002d974ef7
OutputL: 0000000000; OutputR: fffd45bab0
OutputL: 0000000000; OutputR: 0015f9e92c
OutputL: 0000000000; OutputR: 00136b64c9
OutputL: 0000000000; OutputR: 00100f96d0
OutputL: 0000000000; OutputR: 0000896243
OutputL: 0000000000; OutputR: 000c312b66
OutputL: 0000000000; OutputR: fff8025c3b
OutputL: 0000000000; OutputR: 001566470a
OutputL: 0000000000; OutputR: ffdfb4758b
OutputL: 0000000000; OutputR: 00038ea090
OutputL: 0000000000; OutputR: 00025dccfb
OutputL: 0000000000; OutputR: ffce200ac2
OutputL: 0000000000; OutputR: fffad36d17
OutputL: 0000000000; OutputR: fff39a691a
